cohort,customers,first_order_revenue_czk,rate_30d,rate_60d,rate_90d,rate_180d,rate_365d,third_order_90d
2024-01,14042,19994779.98,0.3441,0.5613,0.6761,0.8422,0.897,0.6848
2024-02,7960,11021690.05,0.2004,0.3727,0.5109,0.7526,0.8295,0.5361
2024-03,5395,7194726.68,0.1247,0.2638,0.3852,0.671,0.7789,0.4504
2024-04,3876,5241102.93,0.1125,0.2252,0.3338,0.6127,0.7541,0.414
2024-05,3636,4794966.74,0.0902,0.176,0.2533,0.602,0.7605,0.3383
2024-06,1997,2525857.33,0.1062,0.1938,0.2649,0.5138,0.6199,0.3691
2024-07,1123,1384788.03,0.1069,0.1638,0.2306,0.3963,0.4942,0.3445
2024-08,1017,1426761.39,0.1337,0.2134,0.2911,0.41,0.5044,0.4547
2024-09,769,984575.7,0.117,0.225,0.3017,0.3836,0.4863,0.3692
2024-10,979,1308934.26,0.1604,0.2778,0.3207,0.4372,0.4974,0.4252
2024-11,1608,2292571.68,0.1866,0.2456,0.3066,0.4714,0.556,0.3935
2024-12,828,1010740.69,0.064,0.1232,0.1643,0.2657,0.3394,0.3618
2025-01,797,991696.46,0.1317,0.197,0.2497,0.3664,0.4379,0.3966
2025-02,632,808765.4,0.1345,0.2025,0.2801,0.3987,0.4715,0.3927
2025-03,603,761118.32,0.1012,0.1658,0.2206,0.3151,0.4146,0.4094
2025-04,497,637697.8,0.1026,0.161,0.2072,0.3119,0.3903,0.4041
2025-05,528,627529.04,0.0966,0.1496,0.1913,0.2652,0.3333,0.4379
2025-06,519,659853.43,0.0944,0.1522,0.2004,0.2987,0.368,0.4044
2025-07,666,788574.83,0.1021,0.1802,0.2162,0.2913,,0.4019
2025-08,753,865944.87,0.0969,0.17,0.2098,0.2975,,0.4122
2025-09,508,647085.2,0.0886,0.1358,0.1831,0.2303,,0.3833
2025-10,437,574615.72,0.1053,0.1899,0.222,0.2883,,0.35
2025-11,518,669169.67,0.1139,0.1506,0.1815,0.2432,,0.3684
2025-12,397,465683.02,0.0453,0.1083,0.1587,0.2317,,0.5522
2026-01,586,946608.69,0.2167,0.2986,0.3259,,,0.6444
2026-02,420,539708.24,0.1357,0.1952,0.2214,,,0.6912
2026-03,527,902499.16,0.1898,0.2713,0.3055,,,0.8077
2026-04,481,707558.04,0.1559,0.2058,,,,
2026-05,331,477051.52,0.1208,,,,,
2026-06,268,324376.14,,,,,,
